name,rank,matches,wins,losses,draws,year
Buh Buh Ray Dudley,86,9,6,2,1,2001
Chaz,87,9,5,4,0,2001
Maven,88,9,1,7,1,2001
Chyna,89,8,7,1,0,2001
D-Lo Brown,90,8,5,3,0,2001
Mark Jindrak,91,8,3,4,1,2001
Bo Dupp,92,7,3,4,0,2001
Stephanie McMahon-Helmsley,93,7,3,2,2,2001
Terri,94,7,1,6,0,2001
The Inferno Kid,95,7,2,5,0,2001
Loki,96,6,1,5,0,2001
Race Steele,97,6,0,6,0,2001
Ekmo,98,5,5,0,0,2001
Gregory Helms,99,5,0,5,0,2001
Jerry Lawler,100,5,4,1,0,2001
Rob Van Dam,1,181,121,60,0,2002
Lance Storm,2,176,90,84,2,2002
Kurt Angle,3,174,58,111,5,2002
Christian,4,170,92,78,0,2002
Booker T,5,167,84,78,5,2002
Test,6,160,70,87,3,2002
Edge,7,159,91,67,1,2002
Chris Jericho,8,158,86,69,3,2002
Rikishi,9,158,81,75,2,2002
Billy Kidman,10,156,79,77,0,2002
Spike Dudley,11,154,81,73,0,2002
Tajiri,12,154,64,90,0,2002
The Hurricane,13,154,89,64,1,2002
Bubba Ray Dudley,14,152,53,98,1,2002
William Regal,15,148,63,83,2,2002
Albert,16,147,61,83,3,2002
Chuck,17,144,101,43,0,2002
Brock Lesnar,18,141,101,35,5,2002
The Big Show,19,136,65,63,8,2002
Billy,20,135,98,37,0,2002
Trish Stratus,21,134,84,50,0,2002
Goldust,22,128,56,70,2,2002
Jeff Hardy,23,127,62,64,1,2002
Funaki,24,124,40,84,0,2002
Crash,25,122,42,79,1,2002
Steven Richards,26,122,33,86,3,2002
Chavo Guerrero,27,120,57,63,0,2002
Triple H,28,119,81,35,3,2002
Eddie Guerrero,29,118,55,63,0,2002
Tommy Dreamer,30,118,53,60,5,2002
Justin Credible,31,114,24,90,0,2002
Randy Orton,32,109,40,69,0,2002
Bradshaw,33,107,45,55,7,2002
Matt Hardy,34,107,64,43,0,2002
Raven,35,105,30,75,0,2002
D-Lo Brown,36,104,69,34,1,2002
Molly Holly,37,103,43,60,0,2002
Jamie Noble,38,102,61,41,0,2002
Kane,39,97,66,30,1,2002
The Undertaker,40,92,56,32,4,2002
Chris Benoit,41,89,46,40,3,2002
Hardcore Holly,42,83,40,42,1,2002
Shelton Benjamin,43,81,44,37,0,2002
John Cena,44,78,40,38,0,2002
Rey Mysterio,45,78,47,30,1,2002
Val Venis,46,75,37,37,1,2002
Jacqueline,47,74,37,37,0,2002
Shawn Stasiak,48,74,16,51,7,2002
Shannon Moore,49,73,33,40,0,2002
Faarooq,50,70,35,35,0,2002
Batista,51,69,51,18,0,2002
Christopher Nowinski,52,69,30,37,2,2002
D-Von Dudley,53,68,30,38,0,2002
Reverend D-Von,54,67,30,37,0,2002
Mark Henry,55,60,34,26,0,2002
Rico,56,58,24,34,0,2002
Johnny Stamboli,57,56,21,35,0,2002
Steve Austin,58,56,42,10,4,2002
Jazz,59,55,36,18,1,2002
Maven,60,55,15,37,3,2002
Scotty 2 Hotty,61,53,22,31,0,2002
Victoria,62,53,18,35,0,2002
Bull Buchanan,63,50,19,31,0,2002
Torrie Wilson,64,50,44,6,0,2002
Al Snow,65,48,11,34,3,2002
Dawn Marie,66,48,13,35,0,2002
Hugh Morrus,67,48,15,31,2,2002
Ric Flair,68,48,12,34,2,2002
Mr. Perfect,69,46,15,30,1,2002
The Big Valbowski,70,45,21,23,1,2002
Matt Hardy Version 1.0,71,44,18,26,0,2002
Sean O'Haire,72,42,20,22,0,2002
Diamond Dallas Page,73,41,26,13,2,2002
Rosey,74,40,26,14,0,2002
Jamal,75,39,25,14,0,2002
X-Pac,76,39,21,16,2,2002
The Big Bossman,77,36,10,26,0,2002
The Rock,78,36,23,11,2,2002
Tazz,79,34,20,14,0,2002
Ron Waterman,80,33,8,25,0,2002
Hulk Hogan,81,31,20,8,3,2002
Doug Basham,82,29,7,22,0,2002
Scott Hall,83,27,10,14,3,2002
Perry Saturn,84,25,12,13,0,2002
Redd Dogg,85,24,5,19,0,2002
Rico Costantino,86,24,8,16,0,2002
Charlie Haas,87,23,15,8,0,2002
Rob Conway,88,23,4,19,0,2002
The Godfather,89,23,9,14,0,2002
Bill DeMott,90,22,14,8,0,2002
Chuck Palumbo,91,22,11,11,0,2002
D-Von,92,21,6,15,0,2002
Lita,93,21,15,6,0,2002
Mark Jindrak,94,21,17,4,0,2002
Stacy Keibler,95,20,3,17,0,2002
Ron Simmons,96,19,8,11,0,2002
Ivory,97,16,5,10,1,2002
Nidia,98,16,3,13,0,2002
Mighty Molly,99,14,1,12,1,2002
Nunzio,100,14,5,9,0,2002
Charlie Haas,1,154,90,63,1,2003
Chris Benoit,2,152,100,50,2,2003
Rob Van Dam,3,149,102,43,4,2003
Eddie Guerrero,4,146,90,55,1,2003
Shelton Benjamin,5,145,83,61,1,2003
Jamie Noble,6,141,37,101,3,2003
A-Train,7,140,47,92,1,2003
Rey Mysterio,8,138,84,51,3,2003
Brock Lesnar,9,137,96,39,2,2003
John Cena,10,137,54,82,1,2003
D-Von Dudley,11,134,80,53,1,2003
Christian,12,132,55,74,3,2003
Bubba Ray Dudley,13,130,76,53,1,2003
Tajiri,14,127,74,51,2,2003
Lance Storm,15,125,65,59,1,2003
Matt Hardy Version 1.0,16,124,75,47,2,2003
Maven,17,122,66,56,0,2003
Kane,18,121,68,51,2,2003
Rico,19,121,36,85,0,2003
Test,20,120,45,74,1,2003
The Hurricane,21,120,80,40,0,2003
Steven Richards,22,117,31,86,0,2003
Rhyno,23,116,51,63,2,2003
The Big Show,24,115,30,84,1,2003
Chris Jericho,25,113,44,65,4,2003
Nunzio,26,110,37,72,1,2003
Scott Steiner,27,109,70,39,0,2003
Trish Stratus,28,107,49,55,3,2003
Chuck Palumbo,29,105,38,67,0,2003
Booker T,30,104,69,32,3,2003
Molly Holly,31,100,38,62,0,2003
Rene Dupree,32,100,46,54,0,2003
Spike Dudley,33,100,48,51,1,2003
Rosey,34,99,37,62,0,2003
Tommy Dreamer,35,99,24,75,0,2003
Sean O'Haire,36,98,66,31,1,2003
Victoria,37,98,45,53,0,2003
Funaki,38,92,27,65,0,2003
Rikishi,39,91,51,38,2,2003
Billy Kidman,40,90,54,36,0,2003
Johnny Stamboli,41,89,32,56,1,2003
Rodney Mack,42,88,49,39,0,2003
Doug Basham,43,87,55,32,0,2003
Chavo Guerrero,44,85,36,48,1,2003
Danny Basham,45,84,54,30,0,2003
Randy Orton,46,83,39,41,3,2003
Triple H,47,83,49,31,3,2003
Kurt Angle,48,79,59,18,2,2003
Mark Jindrak,49,79,47,32,0,2003
Shannon Moore,50,79,19,60,0,2003
Val Venis,51,79,42,35,2,2003
Spanky,52,71,31,40,0,2003
Orlando Jordan,53,70,29,41,0,2003
Garrison Cade,54,67,37,30,0,2003
Ultimo Dragon,55,63,39,24,0,2003
Bradshaw,56,59,32,27,0,2003
Mark Henry,57,59,38,21,0,2003
Bill DeMott,58,57,34,23,0,2003
Batista,59,53,17,35,1,2003
Gail Kim,60,53,26,27,0,2003
The Undertaker,61,53,36,16,1,2003
Jazz,62,52,24,27,1,2003
Ric Flair,63,52,14,37,1,2003
Rob Conway,64,51,9,42,0,2003
Nidia,65,50,19,31,0,2003
Torrie Wilson,66,49,33,16,0,2003
Goldust,67,48,31,17,0,2003
Jacqueline,68,48,11,37,0,2003
Christopher Nowinski,69,47,21,26,0,2003
Brian Kendrick,70,45,16,29,0,2003
Billy Gunn,71,44,24,20,0,2003
Goldberg,72,43,36,4,3,2003
Jamal,73,43,10,33,0,2003
Lita,74,41,27,13,1,2003
Dawn Marie,75,40,9,30,1,2003
Chris Kanyon,76,39,12,27,0,2003
Ivory,77,37,14,23,0,2003
Shawn Michaels,78,37,25,10,2,2003
Faarooq,79,36,13,23,0,2003
Nathan Jones,80,36,23,13,0,2003
Paul London,81,36,11,25,0,2003
Sylvain Grenier,82,35,26,9,0,2003
Crash,83,34,7,27,0,2003
Chief Morley,84,33,5,28,0,2003
Kevin Nash,85,30,11,19,0,2003
Sylvan Grenier,86,27,14,13,0,2003
Scotty 2 Hotty,87,25,15,10,0,2003
Shane McMahon,88,24,20,3,1,2003
Jeff Hardy,89,23,13,10,0,2003
D-Lo Brown,90,21,6,15,0,2003
William Regal,91,21,20,1,0,2003
Jon Heidenreich,92,20,15,5,0,2003
Edge,93,19,9,10,0,2003
Matt Morgan,94,19,3,16,0,2003
Horshu,95,18,6,12,0,2003
Zach Gowen,96,16,6,10,0,2003
Akio,97,14,4,10,0,2003
Matt Hardy,98,14,6,8,0,2003
Travis Tomko,99,14,5,9,0,2003
Al Snow,100,13,4,9,0,2003
Chris Benoit,1,164,134,27,3,2004
Batista,2,163,59,103,1,2004
Randy Orton,3,153,111,39,3,2004
Rhyno,4,149,59,88,2,2004
Chris Jericho,5,148,100,46,2,2004
Rey Mysterio,6,146,88,56,2,2004
Rene Dupree,7,141,54,85,2,2004
Shelton Benjamin,8,139,85,50,4,2004
Rob Van Dam,9,138,89,47,2,2004
Tajiri,10,135,56,78,1,2004
Billy Kidman,11,132,65,62,5,2004
The Hurricane,12,130,48,80,2,2004
Charlie Haas,13,129,56,69,4,2004
Mark Jindrak,14,129,72,57,0,2004
Val Venis,15,128,48,78,2,2004
Booker T,16,127,57,68,2,2004
Spike Dudley,17,122,62,60,0,2004
Eddie Guerrero,18,121,76,40,5,2004
Molly Holly,19,119,25,91,3,2004
Nunzio,20,118,38,79,1,2004
Hardcore Holly,21,117,52,65,0,2004
Triple H,22,116,30,83,3,2004
D-Von Dudley,23,115,36,79,0,2004
John Cena,24,115,89,25,1,2004
Kane,25,114,50,59,5,2004
Victoria,26,114,79,32,3,2004
Bubba Ray Dudley,27,112,38,74,0,2004
Sylvain Grenier,28,112,62,50,0,2004
Christian,29,109,24,85,0,2004
Chavo Guerrero,30,106,52,52,2,2004
Chuck Palumbo,31,98,23,75,0,2004
John Bradshaw Layfield,32,97,52,45,0,2004
Paul London,33,96,40,54,2,2004
Doug Basham,34,95,24,71,0,2004
Danny Basham,35,94,25,68,1,2004
Eugene,36,92,60,30,2,2004
Edge,37,90,42,46,2,2004
Rosey,38,90,38,51,1,2004
Rob Conway,39,87,50,37,0,2004
Johnny Stamboli,40,84,38,46,0,2004
Jamie Noble,41,83,16,65,2,2004
Maven,42,82,43,39,0,2004
Garrison Cade,43,79,39,40,0,2004
Funaki,44,77,24,53,0,2004
Scotty 2 Hotty,45,77,39,38,0,2004
Billy Gunn,46,76,33,43,0,2004
Kurt Angle,47,76,20,54,2,2004
Ric Flair,48,76,27,49,0,2004
Rico,49,76,56,20,0,2004
Matt Hardy,50,75,34,38,3,2004
Luther Reigns,51,74,27,44,3,2004
Trish Stratus,52,74,40,33,1,2004
Orlando Jordan,53,73,34,39,0,2004
Steven Richards,54,73,23,48,2,2004
Lita,55,72,37,32,3,2004
The Big Show,56,72,52,19,1,2004
William Regal,57,71,43,28,0,2004
Kenzo Suzuki,58,69,48,21,0,2004
Tyson Tomko,59,68,20,48,0,2004
Shannon Moore,60,60,10,50,0,2004
Akio,61,58,8,49,1,2004
The Undertaker,62,56,51,4,1,2004
Robert Conway,63,55,26,29,0,2004
Jazz,64,49,9,40,0,2004
Shawn Michaels,65,47,30,15,2,2004
Nidia,66,46,22,24,0,2004
Rikishi,67,43,32,11,0,2004
Gene Snitsky,68,41,32,8,1,2004
Dawn Marie,69,40,2,36,2,2004
Rodney Mack,70,39,15,24,0,2004
Gail Kim,71,38,5,31,2,2004
Bradshaw,72,36,22,14,0,2004
Heidenreich,73,36,20,16,0,2004
Simon Dean,74,36,25,10,1,2004
The A-Train,75,35,6,29,0,2004
Sakoda,76,34,6,28,0,2004
Test,77,31,5,24,2,2004
Torrie Wilson,78,29,24,3,2,2004
Lance Storm,79,26,16,10,0,2004
Jonathan Coachman,80,24,2,22,0,2004
Stacy Keibler,81,22,10,11,1,2004
Carlito Caribbean Cool,82,21,18,3,0,2004
Mordecai,83,21,20,1,0,2004
Muhammad Hassan,84,20,13,7,0,2004
Matt Morgan,85,19,3,16,0,2004
Miss Jackie,86,19,13,4,2,2004
Ultimo Dragon,87,19,11,8,0,2004
Brock Lesnar,88,18,12,6,0,2004
Horshu,89,18,1,17,0,2004
Jon Heidenreich,90,17,12,5,0,2004
Chris Masters,91,16,14,2,0,2004
Chavo Guerrero Classic,92,14,12,2,0,2004
Ernest Miller,93,13,5,8,0,2004
Faarooq,94,12,6,6,0,2004
Mark Henry,95,12,4,8,0,2004
Matt Cappotelli,96,12,7,5,0,2004
Mike Bucci,97,12,0,12,0,2004
Jesus,98,9,5,2,2,2004
Johnny Nitro,99,9,0,9,0,2004
Nick Dinsmore,100,9,0,9,0,2004
Shelton Benjamin,1,149,97,49,3,2005
Chris Benoit,2,144,96,41,7,2005
John Cena,3,144,135,7,2,2005
Kurt Angle,4,139,40,95,4,2005
The Big Show,5,132,112,17,3,2005
Rey Mysterio,6,128,91,35,2,2005
Booker T,7,127,84,38,5,2005
Batista,8,126,111,12,3,2005
Orlando Jordan,9,124,35,87,2,2005
Edge,10,123,40,76,7,2005
Chris Masters,11,122,87,34,1,2005
Heidenreich,12,119,76,42,1,2005
John Bradshaw Layfield,13,117,18,94,5,2005
Christian,14,112,16,95,1,2005
Tajiri,15,109,54,53,2,2005
Eddie Guerrero,16,108,42,66,0,2005
Hardcore Holly,17,108,43,65,0,2005
Val Venis,18,108,23,85,0,2005
Paul London,19,107,55,48,4,2005
Victoria,20,107,27,80,0,2005
William Regal,21,107,49,55,3,2005
Kane,22,106,86,17,3,2005
The Hurricane,23,99,61,37,1,2005
Triple H,24,99,27,70,2,2005
Shawn Michaels,25,96,71,19,6,2005
Viscera,26,96,52,43,1,2005
Funaki,27,95,28,66,1,2005
Tyson Tomko,28,94,23,71,0,2005
Nunzio,29,92,34,58,0,2005
Randy Orton,30,85,29,54,2,2005
Ric Flair,31,82,31,49,2,2005
Chris Jericho,32,79,33,45,1,2005
Rosey,33,78,56,22,0,2005
Muhammad Hassan,34,77,36,40,1,2005
Carlito,35,74,26,46,2,2005
Scotty 2 Hotty,36,72,15,56,1,2005
Simon Dean,37,70,15,55,0,2005
Chavo Guerrero,38,67,26,38,3,2005
Rob Conway,39,66,34,30,2,2005
Antonio,40,63,8,55,0,2005
Charlie Haas,41,63,20,43,0,2005
Trish Stratus,42,62,57,5,0,2005
Doug Basham,43,61,25,35,1,2005
Rene Dupree,44,61,19,39,3,2005
Romeo,45,60,8,52,0,2005
Gene Snitsky,46,59,6,49,4,2005
Mark Jindrak,47,58,24,33,1,2005
Robert Conway,48,58,10,47,1,2005
Sylvain Grenier,49,58,7,50,1,2005
Super Crazy,50,57,39,17,1,2005
The Undertaker,51,57,50,5,2,2005
Danny Basham,52,56,23,32,1,2005
Mercury,53,55,18,37,0,2005
Road Warrior Animal,54,55,42,13,0,2005
Eugene,55,53,24,28,1,2005
Nitro,56,53,18,35,0,2005
Psicosis,57,53,37,16,0,2005
Snitsky,58,52,18,34,0,2005
Trevor Murdoch,59,52,32,20,0,2005
Spike Dudley,60,51,4,47,0,2005
Lance Cade,61,48,26,22,0,2005
Maven,62,46,8,38,0,2005
Christy Hemme,63,45,39,6,0,2005
Johnny Nitro,64,45,35,10,0,2005
Juventud,65,44,22,21,1,2005
Matt Hardy,66,44,22,19,3,2005
Joey Mercury,67,42,36,6,0,2005
Luther Reigns,68,41,8,32,1,2005
Paul Burchill,69,41,8,32,1,2005
Akio,70,39,6,32,1,2005
Kerwin White,71,38,24,14,0,2005
Torrie Wilson,72,38,16,22,0,2005
Sylvan,73,33,7,26,0,2005
Molly Holly,74,30,2,28,0,2005
Bobby Lashley,75,29,24,5,0,2005
Ashley,76,27,19,8,0,2005
Brian Kendrick,77,27,6,21,0,2005
Rhyno,78,27,5,22,0,2005
Billy Kidman,79,25,2,23,0,2005
Kid Kash,80,24,11,13,0,2005
Steven Richards,81,24,0,24,0,2005
Lashley,82,23,23,0,0,2005
Vito,83,23,6,17,0,2005
Kenzo Suzuki,84,21,4,17,0,2005
Mr. Kennedy,85,21,8,13,0,2005
Shannon Moore,86,21,1,20,0,2005
Candice Michelle,87,20,6,14,0,2005
Carlito Caribbean Cool,88,20,10,9,1,2005
Mike Mizanin,89,20,9,11,0,2005
Matt Morgan,90,19,10,8,1,2005
Ken Kennedy,91,18,17,1,0,2005
Melina,92,18,7,11,0,2005
Chris Cage,93,17,4,13,0,2005
Matt Striker,94,15,8,7,0,2005
Khosrow Daivari,95,13,4,9,0,2005
Chad Dick,96,11,4,7,0,2005
Dawn Marie,97,11,1,10,0,2005
James Dick,98,11,4,7,0,2005
Jonathan Coachman,99,11,0,11,0,2005
Russell Simpson,100,11,0,11,0,2005
John Cena,1,165,136,26,3,2006
Edge,2,152,36,115,1,2006
Triple H,3,138,90,42,6,2006
Carlito,4,136,62,73,1,2006
Shelton Benjamin,5,130,56,73,1,2006
Finlay,6,124,40,82,2,2006
Rob Van Dam,7,124,82,40,2,2006
Bobby Lashley,8,122,99,20,3,2006
Kane,9,121,79,32,10,2006
Matt Hardy,10,120,66,52,2,2006
The Big Show,11,116,64,48,4,2006
Lance Cade,12,114,35,79,0,2006
Randy Orton,13,111,36,73,2,2006
Brian Kendrick,14,109,72,36,1,2006
Paul London,15,109,71,37,1,2006
Rey Mysterio,16,108,80,23,5,2006
Trevor Murdoch,17,108,32,76,0,2006
Umaga,18,103,65,35,3,2006
Mickie James,19,102,61,40,1,2006
Shawn Michaels,20,102,80,16,6,2006
Gregory Helms,21,100,55,41,4,2006
Viscera,22,93,26,64,3,2006
Chris Benoit,23,90,73,16,1,2006
Kenny,24,90,26,60,4,2006
Mikey,25,90,25,62,3,2006
Super Crazy,26,87,36,49,2,2006
Chris Masters,27,85,11,73,1,2006
Johnny Nitro,28,85,36,49,0,2006
Victoria,29,85,22,63,0,2006
Funaki,30,84,21,58,5,2006
Mark Henry,31,84,17,65,2,2006
Snitsky,32,82,32,50,0,2006
Eugene,33,80,26,54,0,2006
Ric Flair,34,79,63,16,0,2006
William Regal,35,79,12,67,0,2006
Robbie McAllister,36,77,56,20,1,2006
Rory McAllister,37,77,56,20,1,2006
Chavo Guerrero,38,76,29,46,1,2006
Sabu,39,75,38,35,2,2006
Mr. Kennedy,40,73,34,37,2,2006
Tatanka,41,73,26,44,3,2006
Batista,42,72,63,8,1,2006
Jamie Noble,43,72,19,53,0,2006
Kurt Angle,44,71,45,24,2,2006
Rob Conway,45,69,4,65,0,2006
CM Punk,46,68,64,2,2,2006
Johnny,47,68,24,41,3,2006
Test,48,67,33,33,1,2006
Torrie Wilson,49,67,30,37,0,2006
Nicky,50,65,22,40,3,2006
Vito,51,65,48,17,0,2006
King Booker,52,64,14,50,0,2006
Tommy Dreamer,53,64,30,34,0,2006
Kid Kash,54,63,20,42,1,2006
Jeff Hardy,55,62,36,26,0,2006
Matt Striker,56,62,20,42,0,2006
The Undertaker,57,62,48,9,5,2006
Sylvan,58,61,13,47,1,2006
Trish Stratus,59,61,30,30,1,2006
Val Venis,60,61,15,46,0,2006
Charlie Haas,61,60,17,40,3,2006
Mike Knox,62,60,15,45,0,2006
Mercury,63,54,35,18,1,2006
Nitro,64,54,35,18,1,2006
Candice Michelle,65,52,20,32,0,2006
Scotty 2 Hotty,66,49,9,39,1,2006
Maria,67,47,21,25,1,2006
The Sandman,68,46,34,12,0,2006
Kevin Thorn,69,45,20,25,0,2006
Booker T,70,44,4,40,0,2006
Goldust,71,44,21,23,0,2006
Hardcore Holly,72,44,12,30,2,2006
Little Guido,73,42,19,23,0,2006
Psicosis,74,42,7,34,1,2006
Rene Dupree,75,42,3,39,0,2006
Balls Mahoney,76,41,15,26,0,2006
John Bradshaw Layfield,77,41,12,28,1,2006
KC James,78,41,5,35,1,2006
Simon Dean,79,41,2,38,1,2006
Orlando Jordan,80,39,3,36,0,2006
Tony Mamaluke,81,39,16,23,0,2006
Jim Duggan,82,38,23,15,0,2006
Lita,83,37,21,16,0,2006
Stevie Richards,84,36,13,23,0,2006
Idol Stevens,85,34,3,31,0,2006
Mitch,86,34,7,24,3,2006
Montel Vontavious Porter,87,33,4,23,6,2006
Nunzio,88,33,4,23,6,2006
Kristal,89,30,12,17,1,2006
Paul Burchill,90,29,20,9,0,2006
Gunner Scott,91,28,14,14,0,2006
Jillian,92,28,19,9,0,2006
JTG,93,27,25,2,0,2006
Jimmy Wang Yang,94,27,11,16,0,2006
The Great Khali,95,27,18,8,1,2006
The Boogeyman,96,25,24,0,1,2006
Tyson Tomko,97,24,2,22,0,2006
Harry Smith,98,23,20,3,0,2006
Shad,99,23,22,1,0,2006
Sylvester Terkay,100,23,19,4,0,2006
Batista,1,158,134,18,6,2007
Jeff Hardy,2,149,108,38,3,2007
Montel Vontavious Porter,3,146,49,95,2,2007
Finlay,4,139,29,103,7,2007
Randy Orton,5,139,36,100,3,2007
CM Punk,6,138,107,31,0,2007
Kane,7,138,110,20,8,2007
Carlito,8,132,46,82,4,2007
Mr. Kennedy,9,129,41,85,3,2007
Lance Cade,10,128,60,68,0,2007
Umaga,11,128,40,86,2,2007
Tommy Dreamer,12,126,55,71,0,2007
Trevor Murdoch,13,126,59,67,0,2007
Matt Hardy,14,125,85,37,3,2007
John Cena,15,115,98,13,4,2007
The Great Khali,16,115,39,69,7,2007
Brian Kendrick,17,110,44,65,1,2007
Elijah Burke,18,110,36,74,0,2007
Mickie James,19,105,54,50,1,2007
Paul London,20,104,43,60,1,2007
Melina,21,102,47,55,0,2007
Super Crazy,22,99,45,53,1,2007
Deuce,23,98,43,54,1,2007
Kenny Dykstra,24,96,15,81,0,2007
Domino,25,94,41,53,0,2007
Jimmy Wang Yang,26,93,42,50,1,2007
Shelton Benjamin,27,93,23,69,1,2007
Chavo Guerrero,28,86,34,52,0,2007
Kevin Thorn,29,84,26,58,0,2007
Charlie Haas,30,82,18,63,1,2007
Chuck Palumbo,31,82,65,17,0,2007
Val Venis,32,81,35,46,0,2007
Chris Masters,33,80,22,58,0,2007
Victoria,34,80,14,65,1,2007
William Regal,35,80,29,50,1,2007
Edge,36,79,21,56,2,2007
The Undertaker,37,79,68,7,4,2007
Cody Rhodes,38,77,51,26,0,2007
Bobby Lashley,39,76,64,9,3,2007
Snitsky,40,76,52,24,0,2007
Mark Henry,41,75,41,33,1,2007
Johnny Nitro,42,73,22,50,1,2007
Santino Marella,43,73,37,35,1,2007
Chris Benoit,44,72,55,16,1,2007
The Miz,45,71,30,38,3,2007
Dave Taylor,46,69,8,60,1,2007
Rob Van Dam,47,66,39,25,2,2007
Jim Duggan,48,65,32,33,0,2007
Michelle McCool,49,65,52,11,2,2007
JTG,50,60,44,16,0,2007
John Morrison,51,60,29,30,1,2007
Matt Striker,52,60,19,41,0,2007
Hardcore Holly,53,59,32,27,0,2007
Ric Flair,54,59,38,18,3,2007
Candice Michelle,55,58,44,14,0,2007
Marcus Cor Von,56,58,22,36,0,2007
Eugene,57,57,17,39,1,2007
Big Daddy V,58,54,31,22,1,2007
Shad,59,54,39,15,0,2007
Rey Mysterio,60,53,44,7,2,2007
Triple H,61,51,43,7,1,2007
King Booker,62,50,19,29,2,2007
Shawn Michaels,63,50,34,13,3,2007
Funaki,64,49,9,40,0,2007
Jamie Noble,65,49,16,33,0,2007
Daivari,66,47,9,37,1,2007
Beth Phoenix,67,44,24,19,1,2007
Festus,68,43,34,9,0,2007
The Sandman,69,42,21,21,0,2007
Balls Mahoney,70,39,15,24,0,2007
Jesse,71,39,30,9,0,2007
Gregory Helms,72,36,3,32,1,2007
Stevie Richards,73,35,14,21,0,2007
Rory,74,33,13,20,0,2007
Robbie,75,32,12,20,0,2007
Robbie McAllister,76,32,14,18,0,2007
Brian Major,77,31,15,16,0,2007
Rory McAllister,78,31,14,17,0,2007
Brett Major,79,30,15,15,0,2007
Sabu,80,30,14,16,0,2007
Jillian,81,29,4,25,0,2007
Maria,82,28,12,14,2,2007
The Boogeyman,83,28,11,17,0,2007
Nunzio,84,27,8,19,0,2007
Shannon Moore,85,26,7,19,0,2007
Jillian Hall,86,23,4,19,0,2007
Joey Mercury,87,23,5,18,0,2007
Viscera,88,23,9,14,0,2007
Vladimir Kozlov,89,22,21,1,0,2007
Johnny Jeter,90,21,5,16,0,2007
Torrie Wilson,91,21,12,9,0,2007
Kelly Kelly,92,20,9,10,1,2007
Paul Burchill,93,20,4,16,0,2007
Hornswoggle,94,18,12,1,5,2007
Dan Rodman,95,17,4,13,0,2007
Drew McIntyre,96,17,8,9,0,2007
Layla,97,15,3,11,1,2007
Sylvan,98,15,6,9,0,2007
Daniel Rodimer,99,14,6,8,0,2007
Kofi Kingston,100,14,12,2,0,2007
CM Punk,1,173,115,55,3,2008
Kane,2,161,88,71,2,2008
John Morrison,3,152,89,59,4,2008
Shelton Benjamin,4,150,65,84,1,2008
The Miz,5,144,84,56,4,2008
Cody Rhodes,6,142,94,47,1,2008
Finlay,7,141,99,38,4,2008
Kofi Kingston,8,141,99,42,0,2008
Matt Hardy,9,141,106,32,3,2008
Batista,10,140,85,46,9,2008
Mark Henry,11,140,52,86,2,2008
Montel Vontavious Porter,12,140,21,116,3,2008
Triple H,13,139,118,17,4,2008
Chris Jericho,14,135,65,67,3,2008
Jeff Hardy,15,134,87,43,4,2008
Chavo Guerrero,16,128,32,96,0,2008
Beth Phoenix,17,126,70,56,0,2008
The Brian Kendrick,18,116,55,61,0,2008
Carlito,19,114,57,57,0,2008
Mickie James,20,114,71,42,1,2008
Santino Marella,21,113,42,70,1,2008
Edge,22,111,36,71,4,2008
The Big Show,23,107,58,45,4,2008
Jamie Noble,24,104,48,55,1,2008
John Bradshaw Layfield,25,104,28,75,1,2008
